municipios
Açucena
Antônio Dias
Belo Oriente
Bom Jesus do Galho
Braúnas
Bugre
Caratinga
Coronel Fabriciano
Córrego Novo
Dionísio
Dom Cavati
Entre Folhas
Iapu
Imbé de Minas
Inhapim
Ipaba
Ipatinga
Jaguaraçu
Joanésia
Marliéria
Mesquita
Naque
Periquito
Piedade de Caratinga
Pingo-D'água
Santa Bárbara do Leste
Santa Rita de Minas
Santana do Paraíso
São Domingos das Dores
São João do Oriente
São Sebastião do Anta
Timóteo
Ubaporanga
Vargem Alegre
Vermelho Novo
Água Boa
Aimorés
Alpercata
Alvarenga
Cantagalo
Capitão Andrade
Central de Minas
Conselheiro Pena
Coroaci
Cuparaque
Divino das Laranjeiras
Divinolândia de Minas
Engenheiro Caldas
Fernandes Tourinho
Frei Inocêncio
Frei Lagonegro
Galiléia
Goiabeira
Gonzaga
Governador Valadares
Itabirinha de Mantena
Itanhomi
Itueta
Jampruca
José Raydan
Mantena
Marilac
Mathias Lobato
Mendes Pimentel
Nacip Raydan
Nova Belém
Paulistas
Peçanha
Resplendor
Santa Efigênia de Minas
Santa Maria do Suaçuí
Santa Rita do Itueto
São Félix de Minas
São Geraldo da Piedade
São Geraldo do Baixio
São João do Manteninha
São João Evangelista
São José da Safira
São José do Jacuri
São Pedro do Suaçuí
São Sebastião do Maranhão
Sardoá
Sobrália
Tarumirim
Tumiritinga
Virgolândia
Abre Campo
Alto Caparaó
Alto Jequitibá
Caiana
Caparaó
Caputira
Carangola
Chalé
Conceição de Ipanema
Divino
Durandé
Espera Feliz
Faria Lemos
Fervedouro
Ipanema
Lajinha
Luisburgo
Manhuaçu
Manhumirim
Martins Soares
Matipó
Mutum
Orizânia
Pedra Bonita
Pedra Dourada
Pocrane
Reduto
Santa Margarida
Santana do Manhuaçu
São João do Manhuaçu
São José do Mantimento
Simonésia
Taparuba
Tombos
Águas Formosas
Angelândia
Ataléia
Bertópolis
Campanário
Caraí
Carlos Chagas
Catuji
Crisólita
Franciscópolis
Frei Gaspar
Fronteira dos Vales
Itaipé
Itambacuri
Ladainha
Machacalis
Malacacheta
Nanuque
Nova Módica
Novo Cruzeiro
Novo Oriente de Minas
Ouro Verde de Minas
Padre Paraíso
Pavão
Pescador
Poté
Santa Helena de Minas
São José do Divino
Serra dos Aimorés
Setubinha
Teófilo Otoni
Umburatiba   
