"municipios"
"Acucena"
"Antonio Dias"
"Belo Oriente"
"Bom Jesus do Galho"
"Braunas"
"Bugre"
"Caratinga"
"Courrego Novo"
"Dionisio"
"Dom Cavati"
"Entre Folhas"
"Iapu"
"Imbe de Minas"
"Inhapim"
"Ipaba"
"Ipatinga"
"Jaguaracu"
"Joanesia"
"Marlieria"
"Mesquita"
"Naque"
"Periquito"
"Piedade de Caratinga"
"Pingo Dagua"
"Santa Barbara do Leste"
"Santa Rita de Minas"
"Santana do Paraiso"
"Sao Domingos das Dores"
"Sao Joao do Oriente"
"Sao Sebastiao do Anta"
"Timoteo"
"Ubaporanga"
"Vargem Alegre"
"Vermelho Novo"
"agua Boa"
"Aimores"
"Alpercata"
"Alvarenga"
"Cantagalo"
"Capitao Andrade"
"Central de Minas"
"Conselheiro Pena"
"Coroaci"
"Cuparaque"
"Divino das Laranjeiras"
"Divinolandia de Minas"
"Engenheiro Caldas"
"Fernandes Tourinho"
"Frei Inocencio"
"Frei Lagonegro"
"Galileia"
"Goiabeira"
"Gonzaga"
"Governador Valadares"
"Itabirinha de Mantena"
"Itanhomi"
"Itueta"
"Jampruca"
"Jose Raydan"
"Mantena"
"Marilac"
"Mathias Lobato"
"Mendes Pimentel"
"Nacip Raydan"
"Nova Belem"
"Paulistas"
"Pecanha"
"Resplendor"
"Santa Efigenia de Minas"
"Santa Maria do Suacui"
"Santa Rita do Itueto"
"Sao Felix de Minas"
"Sao Geraldo da Piedade"
"Sao Geraldo do Baixio"
"Sao Joao do Manteninha"
"Sao Joao Evangelista"
"Sao Jose da Safira"
"Sao Jose do Jacuri"
"Sao Pedro do Suacui"
"Sao Sebastiao do Maranhao"
"Sardoa"
"Sobralia"
"Tarumirim"
"Tumiritinga"
"Virgolandia"
"Abre Campo"
"Alto Caparao"
"Alto Jequitiba"
"Caiana"
"Caparao"
"Caputira"
"Carangola"
"Chale"
"Conceicao de Ipanema"
"Divino"
"Durande"
"Espera Feliz"
"Faria Lemos"
"Fervedouro"
"Ipanema"
"Lajinha"
"Luisburgo"
"Manhuacu"
"Manhumirim"
"Martins Soares"
"Matipo"
"Mutum"
"Orizania"
"Pedra Bonita"
"Pedra Dourada"
"Pocrane"
"Reduto"
"Santa Margarida"
"Santana do Manhuacu"
"Sao Joao do Manhuacu"
"Sao Jose do Mantimento"
"Simonesia"
"Taparuba"
"Tombos"
"aguas Formosas"
"Angelandia"
"Ataleia"
"Bertopolis"
"Campanario"
"Carai"
"Carlos Chagas"
"Catuji"
"Crisolita"
"Franciscopolis"
"Frei Gaspar"
"Fronteira dos Vales"
"Itaipe"
"Itambacuri"
"Ladainha"
"Machacalis"
"Malacacheta"
"Nanuque"
"Nova Modica"
"Novo Cruzeiro"
"Novo Oriente de Minas"
"Ouro Verde de Minas"
"Padre Paraiso"
"Pavao"
"Pescador"
"Pote"
"Santa Helena de Minas"
"Sao Jose do Divino"
"Serra dos Aimores"
"Setubinha"
"Teofilo Otoni"
"Umburatiba"
