"Município";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"311960 CORONEL PACHECO";"0";"0";"60,00";"20,51";"41,46";"70,73";"17,50";"111,11";"116,00";"96,43";"116,13";"163,16";"77,78";"72,22";"61,11";"55,56";"179,17";"148,39";"100,00";"107,41";"107,41";"112,00";"96,67";"64,29";"75,13"
"311970 CORONEL XAVIER CHAVES";"0";"0";"41,67";"24,49";"94,44";"44,44";"0";"91,18";"90,00";"97,44";"82,00";"127,91";"132,43";"132,43";"110,81";"94,59";"100,00";"112,82";"51,06";"85,29";"102,94";"86,49";"74,07";"52,00";"73,62"
"311980 CORREGO DANTA";"0";"38,18";"35,19";"30,19";"48,89";"90,91";"20,93";"56,00";"55,26";"104,35";"61,90";"59,26";"62,96";"125,93";"85,19";"62,96";"105,26";"173,68";"104,35";"122,73";"127,27";"104,35";"165,00";"77,78";"67,06"
"311990 CORREGO DO BOM JESUS";"0";"4,55";"77,27";"56,82";"50,85";"38,98";"37,29";"86,49";"81,82";"140,00";"103,33";"230,77";"100,00";"76,47";"73,53";"55,88";"194,12";"130,43";"96,00";"100,00";"127,59";"114,81";"86,49";"67,65";"74,76"
"311995 CORREGO FUNDO";"0";"33,33";"58,02";"91,46";"106,19";"60,20";"24,24";"72,50";"173,58";"94,03";"125,00";"100,00";"165,91";"111,36";"152,27";"134,09";"138,71";"96,97";"101,54";"125,93";"111,11";"115,79";"108,06";"115,79";"92,69"
"312000 CORREGO NOVO";"0";"0";"100,00";"70,69";"110,00";"106,12";"44,90";"95,12";"133,33";"128,57";"195,24";"82,93";"148,57";"117,14";"97,14";"102,86";"157,14";"109,38";"70,45";"87,10";"100,00";"88,10";"89,47";"88,57";"89,06"
"312010 COUTO DE MAGALHAES DE MINAS";"0";"0";"0";"104,94";"93,94";"58,21";"79,10";"72,41";"112,73";"81,16";"87,69";"93,44";"106,56";"83,61";"134,43";"139,34";"75,00";"83,93";"107,27";"94,00";"122,00";"96,00";"70,91";"52,00";"77,98"
"312015 CRISOLITA";"0";"0";"55,12";"16,54";"33,08";"58,78";"18,32";"120,00";"104,81";"125,47";"118,18";"121,95";"182,86";"125,71";"140,00";"110,00";"143,66";"121,52";"92,31";"75,26";"69,07";"106,58";"97,62";"64,94";"78,30"
"312020 CRISTAIS";"0";"70,00";"65,96";"73,94";"144,76";"78,47";"25,52";"77,14";"123,13";"116,39";"138,60";"125,37";"98,46";"123,85";"92,31";"91,54";"92,37";"120,69";"87,83";"83,21";"89,31";"93,75";"114,52";"90,35";"91,32"
"312030 CRISTALIA";"0";"0";"7,45";"29,81";"88,05";"64,38";"12,35";"72,41";"115,89";"90,60";"100,00";"87,96";"121,28";"93,62";"108,51";"108,51";"79,61";"164,13";"65,83";"93,75";"58,75";"134,62";"55,22";"104,92";"68,33"
"312040 CRISTIANO OTONI";"0";"0";"0";"0";"58,33";"40,91";"33,93";"89,06";"69,62";"113,33";"101,59";"116,39";"101,75";"114,04";"110,53";"117,54";"169,84";"81,82";"23,08";"64,06";"146,88";"155,77";"126,32";"86,54";"71,92"
"312050 CRISTINA";"0";"0";"48,23";"3,46";"108,86";"93,08";"10,62";"101,61";"140,71";"141,00";"139,39";"119,84";"125,47";"119,81";"118,87";"107,55";"117,71";"97,06";"107,84";"97,06";"143,14";"69,29";"80,81";"74,73";"73,56"
"312060 CRUCILANDIA";"0";"0";"70,97";"41,67";"71,43";"53,97";"30,16";"73,13";"101,64";"143,18";"87,50";"100,00";"93,10";"100,00";"79,31";"113,79";"73,44";"97,92";"143,59";"147,62";"126,19";"81,63";"88,64";"110,00";"79,77"
"312070 CRUZEIRO DA FORTALEZA";"0";"44,93";"17,14";"88,73";"121,31";"119,67";"6,45";"120,93";"118,75";"105,08";"143,18";"113,56";"128,57";"128,57";"101,79";"87,50";"126,09";"134,69";"122,00";"100,00";"95,31";"100,00";"135,09";"117,31";"95,22"
"312080 CRUZILIA";"0";"0";"56,07";"38,46";"102,53";"101,25";"10,25";"80,09";"75,53";"93,27";"97,07";"97,14";"88,30";"91,49";"80,85";"84,04";"83,89";"99,41";"82,38";"92,23";"79,79";"115,87";"87,39";"69,67";"70,97"
"312083 CUPARAQUE";"0";"0";"53,16";"24,36";"25,61";"35,37";"13,41";"111,11";"110,96";"166,00";"136,84";"122,03";"106,67";"131,67";"135,00";"138,33";"138,89";"83,12";"110,00";"67,95";"60,26";"101,69";"125,00";"61,82";"79,77"
"312087 CURRAL DE DENTRO";"0";"0";"0";"69,11";"101,99";"55,19";"41,67";"100,84";"102,33";"144,83";"127,59";"108,41";"112,96";"105,56";"114,81";"98,15";"107,89";"69,30";"146,36";"98,28";"89,66";"74,07";"160,98";"118,67";"86,46"
"312090 CURVELO";"0";"0,56";"0";"66,00";"87,10";"83,36";"48,31";"110,27";"103,36";"100,38";"105,48";"92,70";"79,58";"78,72";"87,69";"81,58";"87,99";"78,58";"80,63";"86,38";"72,86";"96,23";"94,43";"83,05";"73,10"
"312100 DATAS";"0";"0";"0";"46,55";"54,44";"74,44";"61,54";"59,41";"125,35";"89,74";"111,69";"123,61";"134,72";"97,22";"118,06";"118,06";"179,71";"91,67";"109,33";"75,32";"92,21";"96,59";"78,02";"73,49";"77,33"
"312110 DELFIM MOREIRA";"0";"0";"50,00";"7,79";"37,84";"77,18";"24,16";"118,52";"160,47";"124,74";"140,91";"123,53";"98,95";"103,16";"91,58";"113,68";"115,38";"97,62";"110,39";"101,16";"93,02";"100,00";"76,92";"59,72";"75,01"
"312120 DELFINOPOLIS";"0";"51,72";"52,63";"38,74";"39,42";"80,77";"51,46";"86,36";"122,47";"116,00";"67,31";"126,32";"130,38";"101,27";"110,13";"103,80";"89,19";"150,00";"85,51";"87,18";"87,18";"120,00";"117,65";"100,00";"82,44"
"312125 DELTA";"0";"34,51";"0,86";"97,46";"22,43";"86,36";"55,86";"153,12";"236,89";"100,75";"117,16";"127,27";"130,95";"130,16";"111,11";"106,35";"91,84";"78,91";"115,50";"98,47";"73,28";"89,38";"103,97";"90,52";"95,62"
"312130 DESCOBERTO";"0";"0";"42,86";"0";"85,71";"123,81";"39,06";"122,64";"142,22";"163,16";"121,74";"90,20";"114,29";"126,19";"159,52";"121,43";"172,22";"118,00";"112,20";"77,78";"57,41";"132,50";"121,57";"93,62";"86,83"
"312140 DESTERRO DE ENTRE RIOS";"0";"0";"9,48";"63,79";"94,38";"50,56";"20,22";"98,86";"138,24";"107,32";"118,64";"80,49";"117,14";"112,86";"98,57";"102,86";"158,21";"119,64";"92,96";"124,62";"96,92";"132,14";"80,65";"121,05";"80,16"
"312150 DESTERRO DO MELO";"0";"0";"0";"8,16";"71,43";"63,41";"41,46";"14,71";"52,00";"106,52";"185,71";"69,23";"132,26";"109,68";"112,90";"109,68";"165,62";"116,22";"103,85";"158,62";"103,45";"110,71";"103,23";"85,71";"74,20"
"312160 DIAMANTINA";"0";"0";"1,43";"43,01";"66,13";"62,56";"83,13";"66,84";"104,31";"119,80";"114,50";"105,91";"83,47";"118,28";"91,10";"83,15";"67,32";"94,83";"99,85";"64,80";"58,19";"50,43";"61,51";"47,03";"68,05"
"312170 DIOGO DE VASCONCELOS";"0";"0";"45,00";"22,78";"88,57";"108,70";"24,64";"204,55";"155,32";"194,59";"113,73";"91,18";"123,40";"87,23";"68,09";"78,72";"168,97";"110,00";"112,50";"102,63";"115,79";"128,57";"93,18";"100,00";"84,82"
"312180 DIONISIO";"0";"0";"36,81";"27,66";"55,95";"80,81";"28,49";"222,50";"215,66";"120,59";"157,69";"150,00";"153,33";"126,67";"121,33";"102,67";"146,77";"104,00";"149,09";"106,56";"109,84";"144,23";"96,67";"103,64";"88,96"
"312190 DIVINESIA";"0";"0";"28,17";"19,44";"5,26";"78,95";"20,51";"175,76";"84,62";"102,00";"104,65";"73,68";"129,27";"97,56";"124,39";"117,07";"115,38";"91,84";"97,87";"111,76";"98,04";"104,55";"181,82";"146,67";"79,14"
"312200 DIVINO";"0";"0";"54,28";"73,02";"83,62";"53,78";"32,69";"69,08";"101,57";"109,21";"149,03";"106,31";"141,73";"107,55";"138,13";"94,96";"151,31";"92,20";"82,72";"88,43";"82,09";"90,91";"97,13";"56,25";"82,41"
"312210 DIVINO DAS LARANJEIRAS";"0";"0";"57,14";"4,88";"57,14";"113,10";"18,07";"147,83";"123,21";"98,36";"91,04";"109,09";"147,62";"122,22";"85,71";"125,40";"105,77";"124,49";"71,43";"94,23";"109,62";"79,03";"113,46";"43,75";"80,30"
"312220 DIVINOLANDIA DE MINAS";"0";"0";"104,55";"0";"100,79";"92,97";"57,36";"138,53";"85,83";"120,79";"124,05";"77,57";"86,24";"101,83";"97,25";"105,50";"105,71";"110,75";"119,59";"103,85";"93,27";"100,00";"111,84";"104,29";"81,91"
"312230 DIVINOPOLIS";"0";"0";"51,01";"43,16";"90,25";"77,83";"13,55";"79,00";"92,27";"86,40";"131,10";"93,73";"92,41";"87,89";"94,00";"91,69";"91,08";"85,95";"85,33";"86,93";"83,72";"90,77";"90,76";"63,72";"72,63"
"312235 DIVISA ALEGRE";"0";"0";"0";"39,84";"75,24";"50,94";"15,74";"74,58";"70,75";"193,10";"86,51";"126,83";"141,25";"97,50";"132,50";"137,50";"124,74";"90,36";"91,57";"129,89";"112,64";"80,00";"93,41";"91,57";"78,88"
"312240 DIVISA NOVA";"0";"0";"56,10";"32,26";"82,11";"81,25";"23,71";"86,49";"101,23";"87,50";"110,34";"104,60";"122,73";"125,76";"125,76";"109,09";"154,41";"149,25";"80,26";"116,22";"116,22";"89,41";"108,86";"104,17";"82,42"
"312245 DIVISOPOLIS";"0";"0";"0";"155,68";"139,47";"103,45";"55,56";"105,05";"85,82";"108,28";"133,61";"158,18";"176,14";"123,86";"144,32";"130,68";"89,32";"171,59";"92,31";"131,51";"172,60";"113,41";"111,11";"106,06";"108,11"
"312247 DOM BOSCO";"0";"71,25";"41,03";"96,10";"60,49";"49,38";"28,75";"105,36";"258,62";"225,71";"128,21";"118,75";"76,74";"83,72";"102,33";"106,98";"93,18";"151,72";"71,11";"138,24";"105,88";"105,88";"129,41";"138,71";"87,66"
"312250 DOM CAVATI";"0";"0";"65,59";"162,64";"66,67";"80,85";"8,60";"40,58";"83,33";"95,06";"108,97";"117,91";"101,39";"90,28";"93,06";"87,50";"100,00";"42,65";"80,95";"85,25";"77,05";"113,46";"80,95";"81,03";"75,18"
"312260 DOM JOAQUIM";"0";"0";"0";"22,86";"78,57";"85,71";"78,57";"83,67";"117,98";"111,25";"127,59";"85,00";"153,49";"72,09";"158,14";"102,33";"91,38";"190,00";"135,59";"57,53";"49,32";"118,60";"110,00";"85,45";"76,93"
"312270 DOM SILVERIO";"0";"0";"32,67";"10,10";"40,30";"41,79";"3,03";"73,21";"69,57";"107,41";"88,14";"100,00";"74,14";"94,83";"105,17";"75,86";"107,32";"93,75";"100,00";"133,33";"105,56";"86,05";"100,00";"84,21";"60,60"
"312280 DOM VICOSO";"0";"0";"55,00";"21,31";"66,00";"50,98";"41,18";"134,48";"130,30";"84,00";"147,06";"78,79";"133,33";"73,33";"90,00";"93,33";"103,12";"110,34";"51,72";"145,45";"77,27";"104,35";"127,78";"64,71";"71,59"
"312290 DONA EUSEBIA";"0";"0";"29,27";"40,80";"89,61";"84,62";"71,79";"148,48";"79,80";"144,93";"91,25";"121,67";"137,50";"110,71";"105,36";"108,93";"169,49";"234,43";"90,48";"132,20";"133,90";"95,71";"75,95";"79,17";"87,10"
"312300 DORES DE CAMPOS";"0";"0";"52,99";"71,32";"71,43";"59,20";"18,11";"87,88";"136,00";"99,14";"129,21";"88,78";"97,39";"72,17";"93,04";"78,26";"53,76";"41,35";"100,00";"85,88";"104,71";"77,23";"77,32";"83,15";"71,28"
"312310 DORES DE GUANHAES";"0";"0";"0";"25,23";"76,53";"54,08";"60,20";"115,07";"145,31";"119,67";"114,55";"84,29";"100,00";"95,31";"89,06";"89,06";"174,42";"133,33";"204,62";"116,92";"69,23";"126,19";"202,04";"82,22";"81,37"
"312320 DORES DO INDAIA";"0";"69,85";"40,38";"61,42";"115,65";"47,62";"13,42";"84,82";"94,36";"77,89";"94,34";"103,07";"111,85";"91,85";"96,30";"64,44";"119,13";"65,99";"100,93";"90,84";"102,29";"71,33";"88,24";"67,89";"72,75"
"312330 DORES DO TURVO";"0";"0";"76,27";"163,79";"73,42";"59,49";"37,97";"101,61";"124,53";"121,95";"73,47";"88,24";"110,81";"86,49";"156,76";"132,43";"94,00";"49,15";"124,14";"104,44";"108,89";"77,78";"80,85";"79,07";"82,83"
"312340 DORESOPOLIS";"0";"42,11";"73,68";"25,64";"10,00";"80,00";"70,00";"104,76";"152,63";"161,11";"125,00";"150,00";"109,52";"76,19";"119,05";"104,76";"160,00";"61,90";"125,00";"92,86";"128,57";"114,29";"83,33";"117,65";"83,89"
"312350 DOURADOQUARA";"0";"41,67";"40,00";"72,00";"52,17";"41,67";"20,83";"121,43";"86,96";"123,81";"131,25";"91,67";"193,33";"126,67";"173,33";"73,33";"169,23";"81,25";"57,89";"187,50";"225,00";"113,33";"144,44";"50,00";"87,23"
"312352 DURANDE";"0";"0";"56,63";"47,34";"51,69";"41,44";"0,54";"77,95";"111,54";"122,86";"104,39";"112,90";"98,90";"92,31";"121,98";"110,99";"86,67";"116,83";"97,03";"65,29";"64,46";"86,24";"111,54";"35,79";"68,11"
"312360 ELOI MENDES";"0";"0";"64,90";"15,71";"75,00";"74,07";"11,00";"105,88";"105,81";"115,44";"115,44";"96,20";"89,97";"99,16";"84,68";"101,95";"195,65";"107,23";"102,83";"126,86";"125,44";"107,02";"91,20";"50,16";"80,75"
"312370 ENGENHEIRO CALDAS";"0";"0";"43,07";"36,63";"0";"64,65";"35,65";"96,94";"185,51";"136,43";"154,76";"124,82";"126,62";"118,18";"103,25";"107,79";"104,23";"82,99";"97,04";"83,22";"77,85";"87,02";"97,50";"82,73";"78,33"
"312380 ENGENHEIRO NAVARRO";"0";"12,50";"93,16";"115,65";"69,17";"81,06";"4,58";"205,56";"149,59";"135,64";"127,45";"149,50";"121,24";"112,39";"92,92";"108,85";"114,14";"108,43";"175,32";"106,41";"105,13";"88,10";"90,00";"98,63";"99,60"
"312385 ENTRE FOLHAS";"0";"0";"118,68";"76,92";"42,53";"80,68";"21,59";"117,05";"183,58";"133,80";"117,91";"92,31";"130,16";"107,94";"114,29";"130,16";"168,18";"160,32";"112,90";"66,20";"95,77";"116,90";"127,63";"100,00";"96,11"
"312390 ENTRE RIOS DE MINAS";"0";"0";"0";"56,32";"36,61";"68,89";"39,82";"128,26";"156,10";"91,67";"105,62";"102,91";"107,87";"98,88";"123,03";"83,15";"126,06";"86,62";"115,75";"102,47";"93,83";"105,70";"80,59";"70,51";"75,81"
"312400 ERVALIA";"0";"0";"88,24";"76,92";"93,20";"70,83";"51,59";"118,03";"85,71";"108,55";"70,51";"111,19";"133,21";"88,68";"93,58";"93,96";"113,52";"86,15";"76,61";"45,41";"78,74";"107,73";"101,35";"78,92";"83,38"
"312410 ESMERALDAS";"0";"0";"86,10";"61,98";"41,25";"41,34";"17,77";"77,23";"99,72";"107,40";"96,52";"86,86";"100,28";"100,28";"109,25";"113,81";"103,37";"109,65";"110,11";"94,04";"89,54";"99,82";"86,96";"76,33";"76,84"
"312420 ESPERA FELIZ";"0";"0";"111,54";"150,91";"124,21";"74,88";"28,40";"66,15";"76,13";"79,51";"95,38";"86,71";"93,35";"83,08";"104,53";"96,98";"133,54";"86,45";"75,00";"97,03";"89,32";"95,14";"96,88";"95,90";"83,68"
"312430 ESPINOSA";"0";"37,39";"35,57";"71,28";"63,98";"72,61";"6,74";"75,56";"96,04";"93,24";"165,96";"81,17";"89,53";"99,55";"98,22";"77,51";"82,70";"103,54";"79,05";"93,37";"75,18";"79,63";"85,48";"86,22";"71,95"
"312440 ESPIRITO SANTO DO DOURADO";"0";"0";"23,61";"15,28";"53,97";"57,14";"9,38";"39,58";"111,36";"117,50";"100,00";"114,71";"113,95";"93,02";"111,63";"118,60";"161,22";"118,18";"106,90";"96,92";"132,31";"81,82";"131,08";"39,71";"75,31"
"312450 ESTIVA";"0";"0";"57,56";"14,49";"88,43";"96,72";"31,15";"106,08";"159,34";"113,33";"93,68";"92,79";"104,88";"100,00";"100,81";"114,63";"92,14";"117,97";"73,87";"73,68";"85,09";"88,98";"106,80";"77,66";"75,42"
"312460 ESTRELA DALVA";"0";"0";"92,31";"77,36";"16,28";"6,98";"13,95";"25,00";"103,57";"57,14";"104,76";"68,57";"172,41";"86,21";"100,00";"96,55";"140,62";"66,67";"46,88";"117,65";"111,76";"78,95";"81,82";"110,00";"65,18"
"312470 ESTRELA DO INDAIA";"0";"37,29";"87,93";"70,18";"113,46";"51,92";"50,98";"92,00";"130,77";"90,20";"120,00";"86,67";"114,29";"125,00";"89,29";"67,86";"121,05";"71,43";"80,00";"76,92";"96,15";"80,00";"85,71";"53,85";"78,36"
"312480 ESTRELA DO SUL";"0";"60,71";"31,25";"91,07";"102,63";"68,42";"103,54";"224,19";"166,13";"107,35";"120,00";"71,43";"98,75";"90,00";"143,75";"137,50";"128,57";"69,57";"58,06";"87,50";"70,83";"74,68";"88,57";"51,56";"88,92"
"312490 EUGENOPOLIS";"0";"0";"0";"90,53";"83,21";"108,76";"42,34";"81,42";"118,18";"109,90";"127,47";"92,56";"109,62";"155,77";"118,27";"128,85";"90,91";"78,81";"121,43";"107,69";"126,37";"122,78";"74,07";"44,44";"81,46"
"312500 EWBANK DA CAMARA";"0";"0";"58,82";"5,80";"57,63";"84,75";"26,67";"115,79";"113,46";"178,38";"98,08";"169,44";"135,42";"127,08";"152,08";"125,00";"105,66";"130,43";"111,63";"100,00";"101,89";"168,29";"93,10";"88,68";"89,96"
"312510 EXTREMA";"0";"0";"51,78";"23,70";"47,85";"65,27";"12,84";"73,35";"86,02";"92,72";"90,77";"110,51";"123,78";"125,08";"126,38";"139,41";"88,91";"97,17";"89,83";"98,32";"76,17";"91,32";"82,47";"85,05";"79,54"
"312520 FAMA";"0";"0";"5,88";"26,47";"85,71";"72,22";"13,89";"127,78";"90,48";"72,00";"59,09";"113,33";"77,78";"111,11";"138,89";"127,78";"104,35";"85,00";"86,96";"110,53";"173,68";"70,37";"57,69";"29,17";"67,11"
"312530 FARIA LEMOS";"0";"0";"74,67";"17,11";"39,71";"102,90";"0";"123,08";"150,00";"152,50";"100,00";"111,76";"100,00";"94,44";"101,85";"72,22";"65,96";"127,08";"92,68";"97,30";"100,00";"72,09";"68,89";"56,10";"73,37"
"312540 FELICIO DOS SANTOS";"0";"0";"0";"12,73";"84,48";"60,34";"49,14";"82,61";"82,18";"114,63";"92,94";"97,14";"82,86";"90,00";"115,71";"152,86";"76,00";"107,35";"105,08";"48,61";"90,28";"149,02";"67,90";"64,86";"68,72"
"312550 SAO GONCALO DO RIO PRETO";"0";"0";"0";"59,21";"32,14";"92,86";"117,86";"80,85";"148,84";"86,44";"221,74";"85,37";"104,26";"95,74";"82,98";"170,21";"57,58";"96,43";"200,00";"58,82";"97,06";"65,52";"117,39";"52,38";"76,06"
"312560 FELISBURGO";"0";"0";"0";"59,06";"87,88";"30,08";"26,87";"106,99";"153,98";"123,73";"209,23";"113,08";"109,52";"80,95";"109,52";"100,00";"100,00";"126,80";"100,97";"126,83";"124,39";"87,27";"111,70";"75,58";"80,85"
"312570 FELIXLANDIA";"0";"71,07";"0";"12,30";"97,93";"70,25";"16,80";"59,72";"99,39";"103,55";"95,15";"105,59";"96,50";"100,70";"112,59";"159,44";"125,90";"87,76";"106,21";"80,84";"74,25";"129,66";"73,68";"75,54";"74,46"
"312580 FERNANDES TOURINHO";"0";"0";"148,94";"13,04";"75,56";"95,45";"16,28";"84,85";"145,16";"127,59";"114,63";"125,93";"128,12";"137,50";"118,75";"103,12";"81,58";"134,38";"121,88";"107,69";"87,18";"123,33";"128,12";"79,31";"90,25"
"312590 FERROS";"0";"0";"31,92";"27,88";"74,88";"62,15";"60,19";"115,24";"106,04";"116,55";"110,37";"107,75";"128,57";"111,76";"104,20";"93,28";"95,60";"90,59";"94,87";"123,33";"105,56";"103,33";"87,37";"24,14";"73,73"
"312595 FERVEDOURO";"0";"0";"77,00";"39,44";"60,28";"49,30";"0,93";"107,59";"157,23";"217,05";"154,55";"93,33";"127,86";"88,57";"118,57";"120,00";"83,03";"90,28";"87,22";"96,69";"107,44";"93,10";"112,78";"103,28";"83,19"
"312600 FLORESTAL";"0";"0";"77,22";"35,00";"80,00";"72,84";"13,41";"132,81";"127,87";"126,00";"103,70";"87,10";"118,97";"139,66";"153,45";"141,38";"74,19";"108,57";"101,49";"106,25";"101,25";"107,89";"124,29";"90,62";"88,40"
"312610 FORMIGA";"0";"66,20";"92,08";"75,27";"136,18";"81,92";"20,44";"88,47";"101,63";"96,12";"85,49";"101,86";"99,03";"95,54";"94,29";"101,81";"92,26";"93,35";"84,82";"89,97";"89,05";"99,12";"82,28";"87,56";"83,94"
"312620 FORMOSO";"0";"50,35";"40,00";"208,76";"101,65";"123,33";"10,92";"115,18";"101,57";"127,10";"135,58";"103,33";"138,30";"126,60";"146,81";"118,09";"121,98";"96,26";"117,24";"100,00";"82,98";"128,07";"92,05";"97,53";"100,19"
"312630 FORTALEZA DE MINAS";"0";"54,69";"30,16";"30,16";"67,61";"76,06";"28,17";"158,97";"97,62";"150,00";"74,42";"136,11";"151,28";"128,21";"138,46";"115,38";"180,49";"208,70";"100,00";"103,23";"151,61";"145,45";"128,95";"65,71";"94,01"
"312640 FORTUNA DE MINAS";"0";"0";"37,93";"10,34";"40,48";"86,05";"32,56";"70,97";"113,16";"135,71";"96,43";"102,94";"96,88";"93,75";"156,25";"134,38";"77,78";"70,97";"188,00";"80,00";"131,43";"137,14";"131,25";"89,66";"87,20"
"312650 FRANCISCO BADARO";"0";"0";"0";"0";"91,94";"93,55";"95,70";"134,23";"123,15";"191,80";"134,48";"155,07";"133,33";"122,22";"104,76";"179,37";"94,20";"594,44";"75,00";"67,65";"77,94";"125,49";"138,46";"100,00";"82,13"
"312660 FRANCISCO DUMONT";"0";"51,52";"24,75";"81,55";"62,89";"67,68";"11,00";"94,44";"108,86";"84,62";"132,79";"94,03";"119,23";"96,15";"83,33";"79,49";"92,75";"213,56";"201,96";"98,55";"88,41";"108,16";"100,00";"104,00";"83,99"
"312670 FRANCISCO SA";"0";"0";"33,53";"43,71";"93,51";"84,57";"17,72";"57,65";"112,30";"110,57";"111,70";"118,67";"99,70";"115,24";"111,28";"104,57";"97,95";"99,34";"114,87";"77,96";"80,82";"91,67";"96,62";"66,36";"74,68"
"312675 FRANCISCOPOLIS";"0";"0";"59,76";"29,63";"29,37";"51,41";"23,40";"119,75";"90,00";"90,24";"115,28";"96,15";"111,11";"92,59";"81,48";"77,78";"121,43";"75,71";"102,17";"107,69";"98,08";"122,22";"82,54";"67,24";"63,17"
"312680 FREI GASPAR";"0";"0";"52,41";"0";"70,59";"72,03";"19,83";"63,92";"73,13";"103,60";"132,18";"82,69";"106,74";"91,01";"177,53";"115,73";"101,33";"126,76";"53,75";"75,00";"29,41";"92,86";"105,80";"82,54";"69,02"
"312690 FREI INOCENCIO";"0";"0";"76,59";"0";"104,27";"112,05";"20,24";"67,84";"110,42";"151,49";"152,89";"119,53";"106,25";"128,57";"131,25";"132,14";"91,03";"96,92";"57,48";"86,92";"37,38";"58,72";"56,41";"48,60";"75,91"
"312695 FREI LAGONEGRO";"0";"0";"25,35";"31,88";"43,75";"164,58";"120,83";"111,11";"109,68";"53,57";"130,00";"110,26";"102,00";"104,00";"88,00";"94,00";"140,54";"90,91";"108,70";"85,42";"79,17";"100,00";"112,50";"79,31";"79,25"
"312700 FRONTEIRA";"0";"33,73";"78,36";"79,19";"51,72";"45,95";"8,00";"111,43";"105,81";"100,00";"111,86";"87,68";"100,50";"100,00";"74,50";"104,00";"85,49";"107,22";"82,74";"101,86";"80,12";"109,23";"83,89";"61,31";"80,12"
"312705 FRONTEIRA DOS VALES";"0";"0";"57,66";"60,36";"26,25";"94,12";"15,29";"71,76";"88,00";"106,67";"122,58";"93,06";"108,96";"88,06";"95,52";"91,04";"117,74";"112,50";"77,42";"83,93";"91,07";"135,56";"68,75";"76,27";"71,95"
"312707 FRUTA DE LEITE";"0";"0";"49,70";"71,01";"95,39";"96,69";"32,67";"81,73";"85,92";"162,00";"90,35";"100,93";"109,62";"116,35";"81,73";"94,23";"90,72";"91,30";"108,33";"113,64";"90,91";"100,00";"90,57";"2,04";"75,93"
"312710 FRUTAL";"0";"26,67";"41,40";"41,81";"89,94";"56,71";"21,43";"66,52";"82,14";"82,70";"80,03";"83,63";"86,78";"74,16";"83,28";"81,61";"100,00";"61,24";"55,93";"68,59";"53,14";"73,50";"77,50";"67,73";"63,44"
"312720 FUNILANDIA";"0";"0";"41,51";"61,11";"83,56";"79,73";"25,33";"78,85";"91,84";"79,63";"94,64";"89,36";"104,17";"127,08";"91,67";"147,92";"96,61";"132,00";"93,33";"108,33";"135,42";"101,72";"108,16";"80,00";"83,64"
"312730 GALILEIA";"0";"0";"142,97";"348,80";"59,09";"64,29";"0,66";"84,96";"136,59";"102,04";"126,44";"115,79";"133,33";"114,49";"149,28";"146,38";"91,30";"74,04";"102,47";"103,90";"102,60";"86,73";"98,80";"72,37";"96,73"
"312733 GAMELEIRAS";"0";"0";"41,24";"97,92";"106,45";"65,59";"20,43";"126,47";"140,74";"106,49";"98,55";"132,69";"83,82";"86,76";"113,24";"119,12";"120,55";"72,06";"86,76";"128,00";"106,00";"114,00";"115,25";"96,30";"83,24"
"312735 GLAUCILANDIA";"0";"0";"30,30";"115,15";"132,14";"75,00";"27,59";"88,10";"116,22";"94,59";"128,57";"100,00";"156,67";"120,00";"106,67";"96,67";"137,50";"108,11";"113,33";"56,41";"56,41";"95,45";"133,33";"18,18";"87,16"
"312737 GOIABEIRA";"0";"0";"137,04";"0";"42,86";"59,18";"28,57";"104,35";"131,71";"138,24";"81,63";"102,78";"116,67";"114,29";"102,38";"123,81";"156,52";"82,35";"109,76";"75,00";"90,91";"120,59";"78,43";"65,96";"87,35"
"312738 GOIANA";"0";"0";"75,00";"28,57";"174,29";"111,43";"16,67";"102,63";"126,47";"95,83";"142,11";"132,35";"162,07";"158,62";"137,93";"186,21";"89,29";"129,63";"115,38";"74,19";"103,23";"143,33";"84,85";"136,67";"95,76"
"312740 GONCALVES";"0";"0";"54,55";"46,30";"62,50";"72,50";"23,75";"173,68";"102,08";"107,55";"116,33";"115,22";"135,00";"120,00";"112,50";"117,50";"215,38";"125,00";"120,51";"136,36";"109,09";"190,00";"163,64";"90,00";"93,30"
"312750 GONZAGA";"0";"0";"53,49";"26,98";"74,77";"61,82";"28,44";"117,95";"95,65";"95,40";"117,50";"85,23";"105,19";"110,39";"112,99";"93,51";"108,45";"92,63";"101,11";"117,95";"48,72";"83,54";"113,33";"101,45";"74,35"
"312760 GOUVEIA";"0";"0";"0";"0,40";"71,86";"74,00";"58,50";"100,63";"88,31";"60,45";"105,38";"90,00";"65,52";"73,56";"79,89";"85,06";"97,93";"77,33";"117,27";"85,82";"123,40";"95,49";"66,89";"70,59";"62,96"
"312770 GOVERNADOR VALADARES";"0";"0";"86,91";"26,70";"82,11";"71,15";"24,54";"103,96";"108,80";"105,15";"113,29";"106,10";"115,25";"105,63";"104,60";"103,36";"97,25";"95,23";"95,55";"83,32";"75,13";"81,30";"79,17";"56,12";"78,56"
